,Unnamed: 0,society_name,property_title,property_rent,types_of_rooms_available,furnishing_details_lst,bedroom_count,bathroom_count,balcony_count,superBuiltUp_area_sqft,carpet_area_sqft,address_lst,available_for,furnishing_type,available_from,Posted_By_and_On,Flooring,Floor_Number,Power_Backup,Property_Age,Months_of_Notice,Gated_Community,Electricity_n_Water_Charges,property_features,avg_rating
77,2,race course road opp rani sati gate,1 BHK Flat for rent,"₹25,000 /month",,,1 Bedroom,1 Bathroom,1 Balcony,1250.0,800.0,"race course road opp rani sati gate
opp dp jewellers office, Indore",All,,,"Owner on Jun 26, 2024",Vitrified,3rd   of 3 Floors,Partial,0 to 1 Year Old,2 Months,,Charges not included,,
78,3,"Vishnupuri Colony, Indore",1 BHK Independent Builder Floor for rent,"₹13,000 /month",,,1 Bedroom,2 Bathrooms,No Balcony,,600.0,"Vishnupuri Colony, Indore",Family Only,,,"Owner on Jun 26, 2024",Marble,Ground of 3 Floors,,10+ Year Old,1 Months,,Charges not included,,4.2
79,4,Shrikrishna Avenue,2 BHK Flat for rent,"₹13,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,,730.0,"Shrikrishna Avenue
Limbodi, Indore",Family Only,,,"Owner on Jun 26, 2024",,3rd   of 4 Floors,,5 to 10 Year Old,1 Months,Yes,Charges not included,"Lift(s)
Visitor Parking",
80,5,"Scheme No 78, Indore",1 Bedroom House for rent,"₹15,000 /month",,,1 Bedroom,2 Bathrooms,1 Balcony,,,"Scheme No 78, Indore",All,,,"Owner on Jun 26, 2024",,,,0 to 1 Year Old,0 Months,,Charges included,,4.1
81,6,Karol Bagh Grand,2 BHK Flat for rent,"₹16,000 /month",,,2 Bedrooms,2 Bathrooms,2 Balconies,1200.0,,"Karol Bagh Grand
Bhawrasla, Indore",All,,,"Owner on Jun 27, 2024",Vitrified,2nd   of 6 Floors,,1 to 5 Year Old,1 Months,Yes,Charges included,"Power Back-up
Lift(s)
Centrally Air Conditioned
Maintenance Staff
Piped-gas
Swimming Pool
Park
Security Personnel
Natural Light
Internet/wi-fi connectivity
Airy Rooms
Spacious Interiors
Shopping Centre
Fitness Centre / GYM
Rain Water Harvesting
Club house / Community Center",3.8
82,7,"Sukhliya, Indore",1 BHK Independent Builder Floor for rent,"₹9,000 /month",,,1 Bedroom,2 Bathrooms,No Balcony,,800.0,"Sukhliya, Indore","Family , Bachelors (Women Only)",,,"Owner on Jun 25, 2024",Stone,Ground of 2 Floors,,5 to 10 Year Old,0 Months,,Charges not included,,4.0
83,8,Adarsh Sanskar Velly,2 Bedroom House for rent,"₹12,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,,,"Adarsh Sanskar Velly
Depalpur, Indore",Family Only,,,"Owner on Jun 25, 2024",,,,0 to 1 Year Old,0 Months,,Charges included,,
84,9,arawali parisar,2 BHK Flat for rent,"₹15,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,950.0,,"arawali parisar
Bhuri Tekri, Indore",All,,,"Owner on Jun 25, 2024",,7th   of 9 Floors,,0 to 1 Year Old,1 Months,,Charges not included,"Security / Fire Alarm
Lift(s)
Maintenance Staff
Water Storage
Park
Visitor Parking",
85,10,ashoka regency,Studio Apartments / 1 RK Flats for rent,"₹11,000 /month",,,1 Room,1 Bathroom,No Balcony,,100.0,"ashoka regency
Mahalaxmi Nagar, Indore",All,,,"Owner on Jun 25, 2024",Granite,2nd   of 3 Floors,Full,0 to 1 Year Old,1 Months,,Charges included,"Maintenance Staff
Visitor Parking",4.3
86,11,DB Pride,2 BHK Flat for rent,"₹35,000 /month",,,2 Bedrooms,2 Bathrooms,1 Balcony,1130.0,750.0,"DB Pride
Talawali Chanda, Indore",Family Only,,,"Owner on Jun 25, 2024",Vitrified,14th   of 14 Floors,Full,1 to 5 Year Old,1 Months,Yes,Charges not included,"Security / Fire Alarm
Feng Shui / Vaastu Compliant
Lift(s)
Water purifier
High Ceiling Height
Maintenance Staff
False Ceiling Lighting
Piped-gas
Visitor Parking
Swimming Pool
Park
Security Personnel
Natural Light
Airy Rooms
Spacious Interiors
Low Density Society
Shopping Centre
Fitness Centre / GYM
Club house / Community Center",
