,price_in_crores,price_per_sqft,floorNum,property_type,noOfFloor,SuperBuiltupArea_sqft,BuiltupArea_sqft,CarpetArea_sqft,servantRoom,studyRoom,poojaRoom,storeRoom,otherAdditionalRoom,luxury_class
112,0.9,13177.0,6.0,1,1.0,,682.9700895,,False,False,False,False,False,0
113,3.4,15454.0,9.0,1,1.0,2200.0,,,True,False,False,True,False,2
114,1.42,10380.0,14.0,1,1.0,,1367.9853219,,False,False,False,False,False,0
115,7.0,32407.0,0.0,0,2.0,,2160.0,,True,False,False,False,False,0
116,0.32,5827.0,9.0,1,1.0,,,549.1746882,False,False,True,False,False,2
117,1.6,8658.0,1.0,1,1.0,1848.0,1600.0,1400.0,False,True,False,False,True,0
118,1.75,6250.0,8.0,1,1.0,,,2800.0159083,True,False,False,False,False,0
119,2.5,14000.0,15.0,1,1.0,1827.0,,,False,False,False,False,False,0
120,0.9,6428.0,12.0,1,1.0,1485.0,1402.0,1400.0,False,False,False,False,False,0
121,1.4,5929.0,1.0,1,1.0,2361.0,,,False,False,False,False,False,0
122,1.4,7035.0,4.0,1,1.0,1990.0,1890.0,1790.0,True,False,False,False,False,0
123,1.5,8282.0,17.0,1,1.0,1811.0,,1570.0,False,False,False,False,True,0
124,3.85,16445.0,8.0,1,1.0,2341.0,,,True,False,False,False,False,0
125,1.73,7554.0,15.0,1,1.0,2290.0,,,True,False,False,False,False,0
126,2.5,10204.0,4.0,1,1.0,,,2449.9735551,True,False,False,False,False,0
127,0.97,9238.0,10.0,1,1.0,,,1050.0194204999998,True,False,False,False,False,0
128,2.35,11233.0,18.0,1,1.0,2092.0,,1100.0,True,False,False,False,False,0
129,1.38,12000.0,8.0,1,1.0,1573.0,1350.0,1150.0,False,True,False,False,False,0
130,5.8,12837.0,0.0,0,4.0,,4518.0,,False,False,False,False,False,0
131,1.5,7692.0,7.0,1,1.0,1950.0,,1161.0,True,False,False,False,False,2
132,6.5,15294.0,0.0,1,1.0,4250.0,,,True,True,True,False,False,0
133,0.45,8333.0,0.0,0,2.0,,4860.0,,False,False,False,False,False,0
134,1.15,7419.0,11.0,1,1.0,1760.0,1650.0,1550.0,True,False,True,False,False,2
135,0.97,5418.0,16.0,1,1.0,1790.0,,,True,False,False,False,False,0
136,1.88,6153.0,10.0,1,1.0,3055.0,,,False,False,False,False,False,0
137,1.32,11442.0,6.0,1,1.0,1158.0,,,False,False,False,False,False,0
138,0.93,6079.0,10.0,1,1.0,1283.0,,,False,False,False,False,False,0
139,1.72,11111.0,0.0,0,2.0,,1547.9578971,171.0,False,False,False,False,True,0
140,1.25,6082.0,4.0,1,1.0,,,2055.0456972,False,False,False,False,False,0
141,6.0,14492.0,0.0,0,3.0,,9000.0,,False,False,False,False,False,0
142,4.3,29311.0,0.0,0,2.0,,1467.0,,False,False,False,False,True,0
143,0.5,6578.0,8.0,1,1.0,,,760.0396850999999,False,False,False,False,False,0
144,1.75,12544.0,10.0,1,1.0,1395.0,,809.0,True,False,False,False,False,2
145,2.95,16389.0,0.0,0,3.0,,1800.0,,False,False,True,False,True,1
146,1.6,160000.0,0.0,0,41.0,,900.0,,False,False,False,False,False,0
147,1.2,9677.0,9.0,1,1.0,1772.0,,1240.0,False,False,False,True,False,0
148,1.27,7231.0,2.0,1,1.0,1763.0,,,False,False,False,False,True,0
149,2.75,10589.0,20.0,1,1.0,,,2597.0085657,True,True,True,False,False,1
150,3.2,12190.0,8.0,1,1.0,2625.0,2600.0,2550.0,True,False,False,False,False,2
151,2.01,13000.0,0.0,0,4.0,,13941.0,,False,False,False,False,False,0
152,1.55,8031.0,5.0,1,1.0,1930.0,1900.0,1720.0,False,False,False,False,False,0
153,0.95,8600.0,4.0,1,1.0,,,1102.9778577,True,True,False,False,False,0
154,0.35,7000.0,5.0,1,1.0,567.0,556.0,500.0,False,False,False,False,False,0
155,0.25,3671.0,11.0,1,1.0,,681.0325857,581.0,False,False,False,False,False,2
156,2.1,8720.0,6.0,1,1.0,2408.0,,1685.0,True,False,False,False,False,0
157,2.55,11860.0,20.0,1,1.0,2150.0,2000.0,,True,False,True,False,True,2
158,0.4,6420.0,4.0,1,1.0,623.0,,599.0,False,False,False,False,False,0
159,0.72,947.0,12.0,1,1.0,,,706.0,False,False,False,True,False,0
160,4.35,32222.0,0.0,0,3.0,,1350.0,,True,False,False,False,False,0
161,0.72,4881.0,9.0,1,1.0,1475.0,1350.0,1250.0,False,False,False,False,True,0
162,2.2,13480.0,5.0,1,1.0,1632.0,1432.0,1232.0,False,True,False,False,False,2
163,1.4,15124.0,20.0,1,1.0,145.0,,86.0,False,False,False,False,False,0
164,1.5,7058.0,8.0,1,1.0,2125.0,,,True,True,False,False,False,0
165,0.97,16454.0,10.0,1,1.0,915.0,,589.49,False,False,False,False,False,0
166,1.77,9195.0,1.0,1,1.0,1827.0,,,False,False,False,False,False,0
167,3.25,14142.0,34.0,1,1.0,,,2297.9871459,True,True,True,False,False,0
168,2.09,11578.0,0.0,1,1.0,1805.0,,,False,False,False,False,False,0
169,0.7,5833.0,0.0,0,1.0,,1199.9606867999998,,False,False,False,False,False,0
170,5.5,5093.0,0.0,0,2.0,,3500.0,,True,True,True,False,True,0
171,6.3,9000.0,0.0,0,2.0,,6999.9859512,4500.0,False,False,False,False,False,2
172,0.98,13343.0,12.0,1,1.0,,978.2241408,734.43,True,True,True,True,False,0
173,3.0,11538.0,2.0,1,1.0,2802.0,2600.0,2200.0,False,False,False,False,True,2
174,1.13,8500.0,4.0,1,1.0,,,1326.0060729,False,True,False,False,False,0
175,1.9,10526.0,2.0,1,1.0,1805.0,1600.0,1400.0,False,False,False,False,True,2
176,1.18,5207.0,8.0,1,1.0,,,2266.0183332,True,False,False,False,False,0
177,1.0,8160.0,4.0,1,1.0,,1250.0128682999998,915.0,False,False,False,False,False,0
178,0.75,7142.0,3.0,1,1.0,1326.0,1298.0,1050.0,False,False,False,False,False,0
179,2.7,12505.0,6.0,1,1.0,2159.0,,,False,False,False,False,False,0
180,1.25,8802.0,3.0,1,1.0,,,1419.9750071999997,False,False,False,False,False,1
181,1.5,11111.0,10.0,1,1.0,,,1350.0095921999998,False,False,False,True,False,2
182,0.42,5600.0,0.0,1,1.0,,,750.0292488,False,False,False,False,True,0
183,4.1,15500.0,30.0,1,1.0,,,2538.0223389,False,True,False,False,False,1
184,0.89,4370.0,8.0,1,1.0,2025.0,,,False,False,True,False,False,0
185,1.8,13846.0,10.0,1,1.0,1818.0,,1300.0,True,False,False,False,False,1
186,0.42,7910.0,3.0,1,1.0,,,530.9836803,False,False,False,False,False,0
187,0.39,9846.0,1.0,1,1.0,325.0,,,False,False,False,False,False,0
188,2.45,10698.0,1.0,1,1.0,,,2290.0218525,False,True,False,False,False,2
189,0.89,8127.0,0.0,0,1.0,,1095.0125643,,False,False,False,False,False,0
190,1.7,18888.0,0.0,0,2.0,,8100.0,,False,False,False,False,True,0
191,0.39,4105.0,1.0,1,1.0,,950.0226966,750.0,False,False,False,False,False,0
192,1.28,10534.0,10.0,1,1.0,1215.0,,,False,False,False,False,False,0
193,13.5,29880.0,0.0,0,2.0,,4518.0,,True,True,True,True,False,2
194,1.15,9349.0,0.0,0,2.0,,1400.0,1230.0,False,True,False,False,False,2
195,0.22,3666.0,1.0,1,1.0,600.0,,,False,False,False,False,False,0
196,4.5,33333.0,0.0,0,2.0,,1350.0,,False,False,True,False,False,2
197,0.8,8889.0,0.0,0,2.0,,900.0,,False,False,False,False,False,0
198,8.5,26235.0,0.0,0,1.0,,3240.0,,True,False,True,False,False,2
199,4.25,13281.0,3.0,1,1.0,3200.0,,3156.0,True,False,False,True,False,2
200,7.45,34491.0,0.0,0,3.0,,4500.0,4000.0,True,False,False,False,False,2
201,2.4,99173.0,0.0,0,2.0,,2178.0,,False,False,False,False,False,0
202,2.45,8521.0,11.0,1,1.0,2875.0,,,True,True,True,True,False,0
203,0.75,138888.0,0.0,0,1.0,,486.0,,False,False,False,False,False,0
204,1.67,7622.0,11.0,1,1.0,2191.0,2091.0,1991.0,False,False,False,False,False,2
205,0.92,7389.0,5.0,1,1.0,1245.0,,,False,False,False,False,True,0
206,0.42,8235.0,0.0,0,2.0,,,510.0,False,False,True,False,False,0
207,0.65,5195.0,15.0,1,1.0,,,1250.9816202,False,False,False,False,False,0
208,1.25,4716.0,6.0,1,1.0,,,2649.9670029,True,False,False,False,False,0
209,1.52,9212.0,7.0,1,1.0,1650.0,,1022.58,True,False,False,False,False,2
210,1.04,5699.0,2.0,1,1.0,1755.0,1500.0,1100.0,False,False,False,False,False,0
211,0.67,5537.0,4.0,1,1.0,1210.0,,,False,False,True,False,False,0
212,18.9,41833.0,0.0,0,3.0,,4518.0,,True,True,True,True,False,2
213,2.35,8468.0,14.0,1,1.0,2598.0,,,True,True,False,False,False,2
214,0.53,4818.0,2.0,1,1.0,1100.0,,,False,False,False,False,False,2
215,0.89,6339.0,9.0,1,1.0,1404.0,,1200.0,False,False,False,False,True,2
216,7.6,38760.0,0.0,0,4.0,,1935.0,,False,True,True,True,False,2
217,1.68,9627.0,8.0,1,1.0,1745.0,,,False,False,False,False,False,0
218,0.8,5266.0,12.0,1,1.0,,,1519.0029792,False,True,False,False,False,0
219,1.0,7692.0,13.0,1,1.0,,,1299.9574107,False,False,False,False,False,0
220,0.97,8818.0,6.0,1,1.0,1385.0,1200.0,1100.0,False,False,True,False,False,2
221,0.41,6905.0,3.0,1,1.0,,,600.9490953,False,False,False,False,False,0
222,0.85,3695.0,2.0,1,1.0,,,2300.0322888,False,False,False,False,False,0
223,4.0,40775.0,0.0,0,2.0,,981.0,,False,False,False,False,False,2
224,1.44,7236.0,2.0,1,1.0,1990.0,,1600.0,True,True,False,False,True,0
225,2.15,10262.0,9.0,1,1.0,2095.0,,,True,False,False,False,False,0
226,2.79,15000.0,13.0,1,1.0,1860.0,,1300.0,False,False,False,False,False,1
227,5.8,19173.0,16.0,1,1.0,,,3024.9816273,True,False,False,False,False,2
228,0.9,13333.0,0.0,0,2.0,,675.0047960999999,,False,False,False,False,False,0
229,4.45,35185.0,0.0,0,3.0,,1350.0,,False,False,False,False,False,0
230,2.5,15151.0,3.0,1,1.0,1650.0,,,True,True,False,False,False,0
231,1.3,7893.0,8.0,1,1.0,1647.0,,,False,False,False,False,True,0
232,3.35,13266.0,19.0,1,1.0,2072.9,,,False,False,False,False,False,0
233,1.4,5929.0,6.0,1,1.0,2361.0,,,True,False,False,False,False,0
234,2.1,16666.0,2.0,1,1.0,,,1260.0233045999998,False,False,False,False,False,0
235,0.75,15625.0,0.0,0,1.0,,479.9627469,,False,False,False,False,False,0
236,5.35,8916.0,0.0,0,3.0,,6000.018712199999,,True,True,True,True,False,2
237,1.84,7641.0,8.0,1,1.0,2408.0,,1685.0,False,False,True,False,False,0
238,2.0,11179.0,8.0,1,1.0,1789.0,,,False,False,False,False,False,0
239,2.5,11715.0,1.0,1,1.0,,2134.0527966,1162.0,False,False,False,False,False,0
240,1.0,6969.0,14.0,1,1.0,1435.0,,,False,True,False,False,True,0
241,3.25,14118.0,0.0,1,1.0,,,2301.9697926,False,False,True,False,False,2
242,0.66,5038.0,14.0,1,1.0,,1309.967847,,False,False,False,False,False,0
243,7.5,31686.0,0.0,0,4.0,,1935.0,,True,True,True,False,False,2
244,12.5,26667.0,0.0,0,3.0,,4500.0,,True,True,True,True,False,0
245,1.66,14254.0,8.0,1,1.0,1950.0,,1161.0,True,False,False,False,False,0
246,6.0,9634.0,0.0,0,2.0,,6228.0,,False,False,False,False,False,0
247,1.6,9264.0,3.0,1,1.0,1727.0,,1017.0,False,False,False,True,False,2
248,3.3,15384.0,10.0,1,1.0,2145.0,2000.0,1800.0,True,False,False,False,False,2
249,0.95,21111.0,0.0,0,3.0,,4050.0,,False,False,False,False,False,0
250,1.0,4723.0,3.0,1,1.0,1800.0,,,False,False,False,False,False,0
251,0.54,7200.0,4.0,1,1.0,,,750.0292488,False,False,False,False,False,0
252,0.75,7500.0,1.0,1,1.0,,999.967239,650.0,False,False,False,False,False,0
253,15.0,33333.0,0.0,0,3.0,,4499.9602146,,True,False,False,True,False,2
254,4.49,11572.0,4.0,1,1.0,3880.0,,,True,False,False,False,False,0
255,4.16,11700.0,14.0,1,1.0,3557.0,,,True,True,False,False,False,0
256,2.77,14025.0,3.0,1,1.0,,,1974.9622068,True,True,False,False,False,1
257,1.4,9655.0,10.0,1,1.0,1615.0,1550.0,1450.0,False,False,False,False,False,2
258,12.5,51440.0,0.0,0,4.0,,2430.0,,True,True,True,False,True,1
259,1.17,6720.0,10.0,1,1.0,1741.0,1550.0,1350.0,False,False,False,False,True,0
260,1.34,8524.0,2.0,1,1.0,1572.0,,,False,True,False,False,False,0
261,4.4,12571.0,6.0,1,1.0,4200.0,3700.0,3500.0,True,True,True,False,True,1
262,1.25,8389.0,18.0,1,1.0,1490.0,1058.0,863.91,False,True,False,False,False,2
263,3.05,9664.0,14.0,1,1.0,3156.0,,,True,False,False,False,True,0
264,0.32,6165.0,2.0,1,1.0,,,519.0357402,False,False,False,False,False,0
265,2.0,12012.0,24.0,1,1.0,1665.0,,,False,False,False,False,False,0
266,2.1,35000.0,0.0,0,3.0,,,599.9803433999999,False,False,False,False,False,0
267,0.75,6938.0,0.0,0,1.0,,1081.0194813,,False,False,False,False,False,0
268,0.48,60000.0,0.0,0,2.0,,720.0,,False,False,False,False,False,0
269,1.59,8594.0,3.0,1,1.0,2000.0,1900.0,1850.0,False,False,False,False,True,2
270,1.17,7001.0,11.0,1,1.0,1671.0,1660.0,1650.0,False,False,False,False,False,0
271,1.75,7641.0,11.0,1,1.0,2290.0,,,True,False,False,False,False,0
272,0.55,5238.0,5.0,1,1.0,,,1050.0194204999998,False,False,False,False,False,0
273,1.1,6875.0,12.0,1,1.0,,,1599.9475823999996,False,False,False,False,False,0
274,1.25,8620.0,1.0,1,1.0,,,1450.0063161,True,False,False,False,False,2
275,1.9,10555.0,9.0,1,1.0,,,1800.0486692999998,False,False,True,False,False,1
276,0.53,14583.0,0.0,0,3.0,,3240.0,,False,False,False,False,False,0
277,18.5,26428.0,0.0,0,1.0,,63000.0,,False,False,False,False,False,0
